location,total_cases_per_population
Faeroe Islands,0.6553093329299652
Cyprus,0.6343510709179727
Gibraltar,0.6121518212427304
San Marino,0.5948556865998933
Andorra,0.5794088620087557
Denmark,0.5544524993850611
Iceland,0.548589790324976
Austria,0.5427929265837279
Saint Pierre and Miquelon,0.52898181200068
Portugal,0.5216075096624397
