location,total_deaths_per_population
Peru,0.006367818312020072
Bulgaria,0.0054401275191450086
Bosnia and Herzegovina,0.004870155181548563
Hungary,0.004828736699243423
Georgia,0.0044888477320262484
North Macedonia,0.0044681528813833304
Montenegro,0.004389520577072241
Croatia,0.004047648661928729
Czechia,0.003861475156387508
Moldova,0.0037987839971569547
